PedersenCommit(ms),ShuffleAndProve(ms),SubsetCheck(ms)
0.658116000067821,0.6413779999547842,0.16776500001469685
0.9044159999120893,1.0671430000002147,0.2627650001159054
0.9271720000469941,0.7830939998711983,0.15624200000274868
0.9822100000747014,1.0066019999612763,0.1695630000995152
0.7262659999014431,0.6515410000247357,0.12974900005247036
0.6034949999502714,0.614918000110265,0.12861499999416992
0.6349669999963226,0.7907809999778692,0.15474700012418907
0.6464540001616115,0.613044999909107,0.13507099993148586
0.6068239999876823,0.6477280001035979,0.13018599997849378
0.6204410001373617,0.6072680000670516,0.1252099998509948
0.6028319999131782,0.6058359999769891,0.13365899985728902
0.8379159999094554,1.013762999946266,0.2689699999791628
1.0015450000082637,0.8159260000866198,0.1473770000757213
0.7098619998942013,0.901193999879979,0.16899599995667813
0.9161919999769452,0.8733249999295367,0.22629000000051747
1.0111839999353833,0.9194510000725131,0.1557860000502842
0.6829339999967488,0.6187550000049669,0.16074099994511926
0.6304690000433766,0.6600110000363202,0.1326689998677466
0.6343319998904917,0.6211800000528456,0.1270230000045558
0.6088489999456215,0.6000880000556208,0.12323900000410504
0.6021180001880566,0.6193770000209042,0.355627999852004
0.9130239998285106,1.1839549999876908,0.26866799998970237
0.9297900001001835,0.6582850000995677,0.13129900003150397
0.6096069998875464,0.6302799999957642,0.12553100009426998
0.724245999890627,0.6578760001048067,0.1267380000626872
0.6148439999833499,0.6085170000460494,0.12291799998820352
0.5884969998533052,0.6908500001827633,0.18414999999549764
0.6976600000143662,0.7334730000820855,0.1297810001688049
0.6220630000370875,0.5967800000235002,0.12305400014156476
0.5907449999540404,0.5885959999432089,0.12368599982437445
0.5892639999274252,0.588689000096565,0.1264699999410368
0.5892070000754757,0.6069879998449323,0.15090400006556592
0.6562000000940316,0.6539000000884698,0.14083999985814444
0.6907720000981499,0.6229450000319048,0.1266820002001623
0.6139269999039243,0.5901409999751195,0.12100999992981087
0.5934739999702288,0.596970999822588,0.12678799998866452
0.5983769999602373,0.5947000001924607,0.12458099990908522
0.5939850000231672,0.5886199999167729,0.1536790000500332
0.5877180001334636,0.6002289999287314,0.15184800008682942
0.6337920001442399,0.5986439998650894,0.12254300008862629
0.5840950000219891,0.5889520000437187,0.12125200009904802
0.5888270000014018,0.5811119999634684,0.1228640001045278
0.5895479998798692,0.596862000065812,0.12555199987218657
0.5961379999916971,0.6310320000011416,0.1275760000680748
0.608801999987918,0.644706999992195,0.12216400000397698
0.5814260000533977,0.5982170000606857,0.12444100002539926
0.592364000112866,0.5946239998593228,0.12330999993537262
0.596908000034091,0.5992030000925297,0.1254769999832206
0.5839589998686279,0.5875870001545991,0.12193500015200698
0.5804410000109783,0.6145799998193979,0.12195099998280057
0.5858770000486402,0.6387470000390749,0.16487400012010767
0.6560069998613471,0.5945739999333455,0.12081399995622633
0.5834950000007666,0.5915639999329869,0.12411299985615187
0.5907419999857666,0.5883759999960603,0.12355199987723609
0.5832829999690148,0.5904189999910159,0.12274899995645683
0.6121679998614127,0.6244109999897773,0.1265260000309354
0.6582170001365739,0.6202690001373412,0.12451599991436524
0.6455420000293088,0.5930970000918023,0.12433400002009876
0.5913469999541121,0.6076439999560534,0.1752030000261584
0.6981080000514339,0.7469080001101247,0.13953799998489558
0.6493329999557318,0.6972539999878791,0.2195839999785676
0.8015210000849038,0.7531969999945431,0.29550800013566914
0.8620010000868206,0.9362739999687619,0.17802700017455209
0.704890999941199,0.6406980000974727,0.12656200010496832
0.6204659998729767,0.6146099999568833,0.12199200000395649
0.5924219999542402,0.6586800000150106,0.1249199999620032
0.6238359999315435,0.6963440000617993,0.13884200006941683
0.6477279998762242,1.0983869999563467,0.16306599991366966
0.9758430001056695,0.8920860000216635,0.15969900005075033
0.673168000048463,0.6637280000632018,0.12936500002069806
0.6983060000038677,0.8099780000065948,0.14835399997537024
0.6009840001297562,0.6016130000716657,0.12445100014701893
0.5852450001384568,0.5912869999065151,0.12180600015199161
0.5848759999480535,0.5954729999757546,0.12209599981360952
0.5917639998642699,0.5993600000238075,0.12638499993045116
0.58922099992742,0.6196659999204712,0.1216609998664353
0.6323879999854398,0.6316520000382297,0.12204099994050921
0.5884879999484838,0.583987000027264,0.12214899993523431
0.5840989999796875,0.6505389999347244,0.16350999999303895
0.659953999956997,0.6846159999440715,0.1232550000622723
0.5803339997783041,0.5877010000858718,0.12127600007261208
0.6178429998726642,0.5994989999180689,0.12398400008351018
0.6058010001197545,0.5868490000011661,0.12142099990342103
0.5905810000967904,0.5965560001186532,0.12516699985098967
0.5855879999216995,0.5890909999379801,0.11991500014119083
0.5804790000638604,0.5980000000818109,0.12417900006767013
0.5979919999390404,0.6242900001325324,0.1326030001109757
0.5848650000643829,0.6403610000234039,0.12666499992519675
0.6175309999889578,0.5900910000491422,0.12266899989299418
0.58678699997472,0.5960699998013297,0.12452600003598491
0.5879979999008356,0.5881939998744201,0.12130999994042213
0.5825159998948948,0.5885069999749248,0.12203400001453701
0.5876000000171189,0.6136520000836754,0.12368200009404973
0.6058129999928497,0.6869989999813697,0.12409200007823529
0.5918649999330228,0.5999189997965004,0.1249700001153542
0.5919810000705183,0.5889839999326796,0.12202999982946494
0.5871240000487887,0.5989670000872138,0.12172300012025516
0.5832629999531491,0.587852000080602,0.12263000007806113
0.5834239998421253,0.6102879999616562,0.12205699999867647
0.5943649998698675,0.6971430000248802,0.12284499985071307
